id,name,pred
000004.SZ,ST国华,2
000005.SZ,ST星源,2
000007.SZ,全新好,7
000010.SZ,美丽生态,2
000011.SZ,深物业A,7
000014.SZ,沙河股份,7
000017.SZ,深中华A,2
000019.SZ,深粮控股,7
000020.SZ,深华发A,7
000021.SZ,深科技,7
000023.SZ,深天地A,2
000025.SZ,特  力A,7
000029.SZ,深深房A,5
000030.SZ,富奥股份,6
000032.SZ,深桑达A,2
000034.SZ,神州数码,7
000036.SZ,华联控股,6
000037.SZ,深南电A,1
000038.SZ,*ST大通,2
000040.SZ,东旭蓝天,1
000045.SZ,深纺织A,5
000048.SZ,京基智农,7
000049.SZ,德赛电池,7
000056.SZ,皇庭国际,2
000062.SZ,深圳华强,7
000068.SZ,华控赛格,2
000096.SZ,广聚能源,5
000151.SZ,中成股份,7
000153.SZ,丰原药业,7
000156.SZ,华数传媒,7
000159.SZ,国际实业,6
000403.SZ,派林生物,7
000407.SZ,胜利股份,6
000408.SZ,藏格矿业,4
000416.SZ,民生控股,2
000417.SZ,合肥百货,6
000419.SZ,通程控股,6
000420.SZ,吉林化纤,2
000423.SZ,东阿阿胶,4
000426.SZ,兴业矿业,5
000430.SZ,张家界,2
000503.SZ,国新健康,2
000504.SZ,南华生物,1
000505.SZ,京粮控股,6
000506.SZ,中润资源,7
000509.SZ,华塑控股,5
000510.SZ,新金路,5
000518.SZ,四环生物,2
000519.SZ,中兵红箭,6
000520.SZ,长航凤凰,7
000521.SZ,长虹美菱,6
000524.SZ,岭南控股,5
000525.SZ,ST红太阳,2
000526.SZ,学大教育,2
000529.SZ,广弘控股,7
000530.SZ,冰山冷热,2
000534.SZ,万泽股份,6
000541.SZ,佛山照明,6
000545.SZ,金浦钛业,2
000550.SZ,江铃汽车,7
000551.SZ,创元科技,6
000553.SZ,安道麦A,7
000554.SZ,泰山石油,7
000557.SZ,西部创业,7
000558.SZ,莱茵体育,2
000561.SZ,烽火电子,6
000565.SZ,渝三峡A,7
000567.SZ,海德股份,7
000570.SZ,苏常柴A,6
000573.SZ,粤宏远A,5
000576.SZ,甘化科工,5
000581.SZ,威孚高科,7
000584.SZ,哈工智能,2
000586.SZ,汇源通信,6
000590.SZ,启迪药业,5
000593.SZ,德龙汇能,6
000595.SZ,宝塔实业,1
000596.SZ,古井贡酒,7
000603.SZ,盛达资源,7
000605.SZ,渤海股份,7
000606.SZ,*ST顺利,2
000609.SZ,中迪投资,2
000610.SZ,西安旅游,1
000615.SZ,奥园美谷,2
000622.SZ,恒立实业,2
000626.SZ,远大控股,7
000627.SZ,天茂集团,7
000628.SZ,高新发展,7
000635.SZ,英 力 特,2
000637.SZ,茂化实华,7
000638.SZ,万方发展,7
000639.SZ,西王食品,2
000650.SZ,仁和药业,7
000655.SZ,金岭矿业,5
000657.SZ,中钨高新,7
000661.SZ,长春高新,6
000663.SZ,永安林业,6
000668.SZ,荣丰控股,7
000670.SZ,盈方微,7
000672.SZ,上峰水泥,7
000676.SZ,智度股份,7
000678.SZ,襄阳轴承,2
000679.SZ,大连友谊,1
000681.SZ,视觉中国,7
000682.SZ,东方电子,6
000691.SZ,亚太实业,7
000695.SZ,滨海能源,1
000697.SZ,*ST炼石,1
000702.SZ,正虹科技,2
000705.SZ,浙江震元,6
000710.SZ,贝瑞基因,5
000711.SZ,京蓝科技,2
000713.SZ,丰乐种业,5
000715.SZ,中兴商业,5
000716.SZ,黑芝麻,2
000719.SZ,中原传媒,7
000720.SZ,新能泰山,2
000721.SZ,西安饮食,1
000722.SZ,湖南发展,5
000727.SZ,冠捷科技,2
000733.SZ,振华科技,7
000735.SZ,罗 牛 山,1
000737.SZ,北方铜业,7
000738.SZ,航发控制,5
000739.SZ,普洛药业,6
000751.SZ,锌业股份,7
000752.SZ,*ST西发,2
000756.SZ,新华制药,6
000757.SZ,浩物股份,5
000758.SZ,中色股份,7
000762.SZ,西藏矿业,4
000768.SZ,中航西飞,6
000779.SZ,甘咨询,7
000782.SZ,美达股份,6
000785.SZ,居然之家,7
000788.SZ,北大医药,7
000790.SZ,华神科技,7
000795.SZ,英洛华,6
000798.SZ,中水渔业,1
000799.SZ,酒鬼酒,7
000801.SZ,四川九洲,6
000802.SZ,北京文化,2
000803.SZ,山高环能,7
000806.SZ,*ST银河,2
000813.SZ,德展健康,2
