X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
000004.SZ,ST国华,,信息传输、软件和信息技术服务业,-2.1446768,0,0,47.97057429,0,0,0,0,0,0,0,51.11086655
000005.SZ,ST星源,,水利、环境和公共设施管理业,-43.61247535,0,0,21.18110408,0,0,0,0,0,0,0,45.01249521
000007.SZ,全新好,,房地产业,80.82262735,0,0,15.20410702,0,0,0,0,0,0,0,57.73530153
000010.SZ,美丽生态,,建筑业,-3308.721813,0,0,16.52228963,0,0,0,0,0,0,0,52.06033706
000011.SZ,深物业A,,房地产业,10.08242553,0.9022,12.08416359,58.69535239,71.71690047,3.535680377,66.237735,1.827913155,0.202183165,0.365649192,-47.48655649,9.905427109
000014.SZ,沙河股份,,房地产业,9.80315548,1.03,23.74328181,36.65321583,59.22796218,2.452661318,98.80966249,1.527373436,0.371207531,0.437748638,406.3256003,45.94754192
000017.SZ,深中华A,,制造业,-1207.77815,0,0,6.431869837,0,0,0,0,0,0,0,90.86862595
000019.SZ,深粮控股,,批发和零售业,19.22764405,0,0,13.55115154,0,0,0,0,0,0,0,52.39047774
000020.SZ,深华发A,,制造业,332.1185145,0,0,9.614677931,0,0,0,0,0,0,0,49.75297996
000021.SZ,深科技,,制造业,20.00580747,0.4223,6.536326596,11.59019203,56.9896843,2.325023622,84.57604579,1.241041544,0.663683767,0.90365679,-17.41784732,48.88278066
000023.SZ,深天地A,,制造业,-14.13136837,0,0,-5.606084881,0,0,0,0,0,0,0,55.13659542
000025.SZ,特  力A,,批发和零售业,60.02846811,0,0,16.25193734,0,0,0,0,0,0,0,64.25703016
000029.SZ,深深房A,,房地产业,77.03186695,0.1519,3.870791044,38.01523513,24.66229871,1.327356666,95.90863122,3.721228502,0.45014917,0.558012199,-31.26052483,48.11110571
000030.SZ,富奥股份,,制造业,16.30986406,0.29,6.704883018,8.252306928,44.4870104,1.801380194,76.77948504,1.369768671,0.47805704,1.11291175,-39.81319521,49.63483162
000032.SZ,深桑达A,,建筑业,-120.8554129,0,0,11.91502217,0,0,0,0,0,0,0,47.21939595
000034.SZ,神州数码,,批发和零售业,16.85427997,1.5652,14.68115585,3.752330447,79.56044008,4.892473243,86.07068391,1.179091622,0.156934184,0.725375527,297.1856042,63.17091765
000036.SZ,华联控股,,房地产业,18.83579741,0.29,8.481180784,57.16415586,32.2253574,1.475478087,78.92920892,2.999228492,2.044941747,2.098412543,13.5943275,55.26677868
