X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
000422.SZ,湖北宜化,14,制造业,5.9159,2.4106,61.1055,24.5261,65.3785,2.8884,58.5661,0.7429,0.4541,0.5668,31.2726,66.5144
000777.SZ,中核科技,14,制造业,36.1012,0,0,17.8494,0,0,0,0,0,0,0,54.5167
000897.SZ,津滨发展,14,房地产业,44.3443,0.1627,12.8816,48.6845,72.9207,3.6929,99.9027,1.1928,0.2170,0.3046,-46.0310,23.9338
002102.SZ,ST冠福,14,制造业,16.5825,0.1688,12.2076,3.1198,56.1185,2.2789,76.4917,1.1504,0.2550,0.7273,282.1336,48.9444
002177.SZ,*ST御银,14,制造业,37.1069,0,0,58.8424,0,0,0,0,0,0,0,51.2486
002279.SZ,久其软件,14,信息传输、软件和信息技术服务业,-65.2823,0.0709,3.8559,30.0966,33.8809,1.5124,95.7850,2.0586,1.3043,1.9934,144.0874,99.4833
002298.SZ,中电兴发,14,信息传输、软件和信息技术服务业,23.1676,0,0,35.1952,0,0,0,0,0,0,0,54.6540
002374.SZ,中锐股份,14,制造业,-10.1040,0,0,1.4427,0,0,0,0,0,0,0,50.8399
002496.SZ,辉丰股份,14,制造业,-11.8080,0,0,27.1957,0,0,0,0,0,0,0,50.1674
002535.SZ,ST林重,14,制造业,-7.2016,0.0200,4.5643,19.0857,0,0,0,0,0,0,0,62.0548
002670.SZ,国盛金控,14,金融业,-54.0081,-0.2257,-3.9133,0,64.4228,2.8108,0,0,0,0,-671.4205,51.0091
002806.SZ,华锋股份,14,制造业,64.1000,0,0,18.9501,0,0,0,0,0,0,0,0
002921.SZ,联诚精密,14,制造业,42.9808,0.2000,2.4247,16.5722,43.8064,1.7796,66.5678,1.6888,0.3736,1.1193,-45.7003,0
300078.SZ,思创医惠,14,制造业,-5.1059,0,0,16.8793,0,0,0,0,0,0,0,59.0121
300142.SZ,沃森生物,14,制造业,108.4707,0.4546,8.2952,88.9145,28.3039,1.3948,80.8773,2.5503,1.1039,2.2665,56.0195,50.5209
300283.SZ,温州宏丰,14,制造业,75.2570,0.0700,3.4370,10.5631,59.8393,2.4900,60.6080,1.4593,0.1801,0.6228,-53.1225,48.1329
300424.SZ,航新科技,14,制造业,92.9577,0,0,29.3309,0,0,0,0,0,0,0,0
300486.SZ,东杰智能,14,制造业,51.5375,0,0,24.5871,0,0,0,0,0,0,0,0
300554.SZ,三超新材,14,制造业,-31.4429,0,0,22.6062,0,0,0,0,0,0,0,0
300605.SZ,恒锋信息,14,信息传输、软件和信息技术服务业,39.7663,0,0,26.6365,0,0,0,0,0,0,0,0
300743.SZ,天地数码,14,制造业,41.0999,0,0,21.9538,0,0,0,0,0,0,0,0
300984.SZ,金沃股份,14,制造业,27.6304,0,0,11.9481,0,0,0,0,0,0,0,0
300992.SZ,泰福泵业,14,制造业,23.9081,0,0,18.3269,0,0,0,0,0,0,0,0
301115.SZ,建科股份,14,科学研究和技术服务业,24.0244,0,0,39.5238,0,0,0,0,0,0,0,0
301186.SZ,超达装备,14,制造业,36.3239,0,0,31.2125,0,0,0,0,0,0,0,0
600070.SH,浙江富润,14,信息传输、软件和信息技术服务业,-3.6927,0,0,-13.9190,0,0,0,0,0,0,0,47.6899
600250.SH,南纺股份,14,批发和零售业,-11.4368,0,0,12.4542,0,0,0,0,0,0,0,52.8387
600400.SH,红豆股份,14,制造业,203.6632,0.0100,0.4913,32.2508,35.6894,1.5550,86.5996,1.3146,0.6577,1.2105,-79.6482,36.2893
600493.SH,凤竹纺织,14,制造业,62.3982,0.0959,3.1074,13.7259,59.0486,2.4419,76.9566,1.0627,0.5074,0.7750,-64.3790,55.5391
600628.SH,新世界,14,批发和零售业,-112.9455,-0.0800,-1.2152,28.5369,26.3146,1.3571,98.1204,1.4836,1.2758,1.3744,-173.4710,45.9246
600702.SH,舍得酒业,14,制造业,35.9330,5.0997,30.3040,78.0480,33.2736,1.4987,96.0888,2.4796,1.1991,1.3358,33.8218,34.1607
600731.SH,湖南海利,14,制造业,9.6818,0.7628,18.7621,23.6394,0,0,0,0,0,0,0,50.4388
600759.SH,ST洲际,14,采矿业,-7.0979,0,0,69.8116,0,0,0,0,0,0,0,32.8218
600835.SH,上海机电,14,制造业,17.8865,0.9600,7.7684,16.0138,58.4490,2.4067,98.1759,1.4365,0.5670,1.0211,30.8137,55.8248
600866.SH,星湖科技,14,制造业,59.2160,0.5122,14.0549,30.7038,56.6883,2.3088,76.8785,0.8541,0.1970,0.3767,374.9519,45.2822
601020.SH,华钰矿业,14,采矿业,46.4918,0,0,34.7720,0,0,0,0,0,0,0,0
603023.SH,威帝股份,14,制造业,278.0502,0,0,34.3826,0,0,0,0,0,0,0,0
603685.SH,晨丰科技,14,制造业,60.1054,0,0,12.1033,0,0,0,0,0,0,0,0
688066.SH,航天宏图,14,信息传输、软件和信息技术服务业,69.9809,1.4300,10.6529,51.2730,54.6063,2.2029,61.1245,2.3971,0.8627,1.9758,32.1129,0
688096.SH,京源环保,14,制造业,23.3008,0.5100,6.3237,39.3521,0,0,0,0,0,0,0,0
688336.SH,三生国健,14,制造业,579.3583,0.0800,1.0778,74.6204,9.7851,1.1085,75.1865,7.9616,6.8707,7.3564,"2,778.7517",59.6437
688590.SH,新致软件,14,信息传输、软件和信息技术服务业,20.5383,-0.2000,-4.0180,27.7300,0,0,0,0,0,0,0,0
000415.SZ,渤海租赁,13,租赁和商务服务业,-12.0017,0,0,37.4576,0,0,0,0,0,0,0,-26.8487
002341.SZ,新纶新材,13,制造业,-3.3833,0,0,15.3492,0,0,0,0,0,0,0,45.3487
002361.SZ,神剑股份,13,制造业,103.1229,0,0,10.3131,0,0,0,0,0,0,0,62.7960
002504.SZ,ST弘高,13,建筑业,-5.2247,0,0,0.5164,0,0,0,0,0,0,0,58.9110
002529.SZ,海源复材,13,制造业,-36.7709,0,0,1.9745,0,0,0,0,0,0,0,47.7363
002548.SZ,金新农,13,制造业,-6.5919,0,0,4.9210,0,0,0,0,0,0,0,64.7213
002781.SZ,*ST奇信,13,建筑业,-0.8346,0,0,5.4310,0,0,0,0,0,0,0,0
300147.SZ,香雪制药,13,制造业,-3.9979,-0.8100,-19.9286,23.8538,69.8687,3.3188,89.5596,0.2893,0.0285,0.2095,22.8900,77.5463
300164.SZ,通源石油,13,采矿业,141.7018,0.0400,2.1878,36.7817,36.2035,1.5675,91.4271,1.4423,0.3236,1.1998,45.5893,83.0473
300213.SZ,佳讯飞鸿,13,制造业,34.6249,0.1100,2.8266,45.5451,26.2988,1.3568,96.7901,2.5555,0.6711,2.3048,-48.3900,101.6079
300218.SZ,安利股份,13,制造业,9.9851,0.6726,12.0302,18.4452,37.8079,1.6079,91.7752,1.5595,0.5386,1.0830,15.5509,62.0782
600322.SH,天房发展,13,房地产业,-1.5030,0,0,16.2617,0,0,0,0,0,0,0,79.2731
600638.SH,新黄浦,13,房地产业,35.5113,0,0,7.1296,0,0,0,0,0,0,0,163.5910
603767.SH,中马传动,13,制造业,36.7325,0.1400,2.8522,14.9847,20.9063,1.2643,83.0169,2.9131,1.0493,2.3078,-33.6358,0
603887.SH,城地香江,13,信息传输、软件和信息技术服务业,-4.6241,0.0058,0.0760,22.9015,59.6334,2.4773,64.4503,1.5583,0.2895,1.3615,100.4286,0
000055.SZ,方大集团,15,制造业,19.5939,0.2600,5.0192,22.2185,54.3327,2.1897,63.2395,1.2445,0.2829,1.0823,26.1712,59.9396
000532.SZ,华金资本,15,综合,16.5381,0.4156,11.6093,39.9232,43.7412,1.7775,69.2171,0.6760,0.4875,0.6460,-23.7076,58.3229
000571.SZ,ST大洲,15,综合,-335.2816,0,0,52.0531,0,0,0,0,0,0,0,67.8066
000572.SZ,海马汽车,15,制造业,89.7934,0,0,16.1034,0,0,0,0,0,0,0,44.2059
000592.SZ,平潭发展,15,农、林、牧、渔业,-11.6686,0,0,7.3680,0,0,0,0,0,0,0,57.4099
000755.SZ,山西路桥,15,交通运输、仓储和邮政业,18.5044,0,0,55.2131,0,0,0,0,0,0,0,116.8822
000809.SZ,ST新城,15,水利、环境和公共设施管理业,-15.1111,0,0,22.2909,0,0,0,0,0,0,0,0.9276
000858.SZ,五 粮 液,15,制造业,26.9353,0,0,75.8960,0,0,0,0,0,0,0,23.4922
000911.SZ,南宁糖业,15,制造业,-8.8108,0,0,14.2500,0,0,0,0,0,0,0,68.0785
000949.SZ,新乡化纤,15,制造业,-22.3668,0,0,10.4113,0,0,0,0,0,0,0,51.7199
001212.SZ,中旗新材,15,制造业,29.0256,0.7300,6.2204,23.1087,15.3710,1.1816,82.4754,4.7621,3.0410,4.0219,-39.0225,0
002003.SZ,伟星股份,15,制造业,18.4259,0.4800,17.4978,38.2526,38.5706,1.6279,81.2584,1.2825,0.5490,0.9059,9.3705,58.0229
002022.SZ,科华生物,15,制造业,4.8439,1.8878,22.3509,54.5549,33.5992,1.5060,69.3355,3.1393,1.6925,2.5225,27.8873,54.9047
002023.SZ,海特高新,15,制造业,85.1589,0,0,40.5415,0,0,0,0,0,0,0,53.9978
002055.SZ,得润电子,15,制造业,-8.6428,0,0,13.9750,0,0,0,0,0,0,0,60.9833
002066.SZ,瑞泰科技,15,制造业,43.6619,0.2868,11.6017,16.6238,72.9974,3.7034,86.2733,1.1314,0.1339,0.7460,22.2004,52.5527
002086.SZ,ST东洋,15,农、林、牧、渔业,-2.1694,0,0,23.3379,0,0,0,0,0,0,0,51.2823
002088.SZ,鲁阳节能,15,制造业,19.6868,1.1500,21.1184,33.6515,0,0,0,0,0,0,0,54.7568
002111.SZ,威海广泰,15,制造业,-32.4424,0.4500,7.6718,31.9137,43.3563,1.7654,90.5226,1.7581,0.2725,1.1661,249.1162,51.5978
002127.SZ,南极电商,15,租赁和商务服务业,36.5835,-0.1274,-6.4511,18.5548,13.2163,1.1523,95.3134,5.7001,3.8904,5.5461,-161.7355,51.5007
002132.SZ,恒星科技,15,制造业,35.1754,0.1400,5.1753,13.1049,53.3897,2.1454,80.2047,0.9041,0.1130,0.6321,34.3266,53.0764
002149.SZ,西部材料,15,制造业,48.7091,0.3787,6.8187,22.4767,50.0359,2.0014,88.6343,1.4373,0.2232,0.8989,46.6825,54.4805
002151.SZ,北斗星通,15,制造业,88.2423,0.2900,3.3130,29.6329,36.7306,1.5805,79.5127,1.9191,0.5586,1.3697,-62.2387,54.0289
002159.SZ,三特索道,15,水利、环境和公共设施管理业,-14.7559,-0.4300,-6.5571,33.6631,38.0253,1.6136,77.1241,0.5374,0.4012,0.5224,53.1232,89.6508
002161.SZ,远 望 谷,15,制造业,-68.8722,0,0,37.6454,0,0,0,0,0,0,0,46.8076
002163.SZ,海南发展,15,建筑业,-186.1346,0,0,8.3062,0,0,0,0,0,0,0,59.1598
002215.SZ,诺 普 信,15,制造业,18.9771,0.3354,10.7844,26.0229,0,0,0,0,0,0,0,24.7913
002224.SZ,三 力 士,15,制造业,40.9886,0,0,23.0775,0,0,0,0,0,0,0,48.8777
002240.SZ,盛新锂能,15,制造业,7.3405,6.4000,62.3045,66.9509,29.4751,1.4179,74.6506,2.9555,1.6224,2.2793,545.0086,55.9964
002259.SZ,ST升达,15,电力、热力、燃气及水生产和供应业,-40.5713,0,0,6.5728,0,0,0,0,0,0,0,83.7476
002274.SZ,华昌化工,15,制造业,7.2852,0,0,18.2169,0,0,0,0,0,0,0,64.9131
002312.SZ,川发龙蟒,15,制造业,16.0147,0,0,24.0656,0,0,0,0,0,0,0,76.2437
002326.SZ,永太科技,15,制造业,41.9087,0,0,30.9509,0,0,0,0,0,0,0,47.4789
002360.SZ,同德化工,15,制造业,16.8388,0,0,38.2241,0,0,0,0,0,0,0,98.2933
002363.SZ,隆基机械,15,制造业,76.5277,0.1100,2.1182,8.3097,38.7278,1.6321,96.4264,1.8609,0.8182,1.2534,42.3516,46.7348
002407.SZ,多氟多,15,制造业,11.3356,2.5400,33.6832,33.8987,56.1723,2.2817,70.1954,1.2130,0.5124,0.9464,60.2552,47.3656
002420.SZ,毅昌科技,15,制造业,53.7364,0,0,10.5848,0,0,0,0,0,0,0,68.9663
002446.SZ,盛路通信,15,制造业,-252.1639,0,0,38.0829,0,0,0,0,0,0,0,62.3836
002486.SZ,嘉麟杰,15,制造业,31.8485,0.1120,9.2935,21.6212,19.6549,1.2446,87.2731,3.5267,1.3212,2.3747,355.1547,60.1167
002628.SZ,成都路桥,15,建筑业,-147.9880,0,0,5.1133,0,0,0,0,0,0,0,32.4309
002775.SZ,文科园林,15,建筑业,-1.1974,-0.7200,-102.1968,11.6358,95.3718,21.6065,72.4179,0.7018,0.0638,0.6230,77.6582,0
002842.SZ,翔鹭钨业,15,制造业,327.3173,-0.1500,-4.1916,10.5001,57.0383,2.3277,66.8714,1.5177,0.1777,0.6496,-266.7176,0
002846.SZ,英联股份,15,制造业,-115.8008,0,0,11.0371,0,0,0,0,0,0,0,0
002860.SZ,星帅尔,15,制造业,33.8324,0,0,16.1783,0,0,0,0,0,0,0,0
002863.SZ,今飞凯达,15,制造业,19.9590,0,0,11.5233,0,0,0,0,0,0,0,0
002864.SZ,盘龙药业,15,制造业,34.3118,1.1800,11.7561,56.6740,50.9214,2.0375,91.8117,1.6417,0.9122,1.5369,9.0847,0
002873.SZ,新天药业,15,制造业,28.8172,0.5007,11.4973,77.9579,38.7585,1.6329,69.7902,1.2311,0.2021,0.8635,15.4034,0
002877.SZ,智能自控,15,制造业,31.9347,0.2500,9.7500,33.5196,0,0,0,0,0,0,0,0
002896.SZ,中大力德,15,制造业,62.2858,0.4700,7.3188,24.5070,28.9756,1.4080,75.0232,2.3393,0.5977,1.3381,-18.4937,0
002931.SZ,锋龙股份,15,制造业,38.5706,0.2400,7.0683,23.3837,38.5148,1.6264,53.2185,2.6652,1.2630,1.9268,-45.6566,0
002982.SZ,湘佳股份,15,农、林、牧、渔业,32.9501,1.0400,6.1528,18.2510,49.4694,1.9790,40.7220,2.0647,0.7899,1.3493,294.6350,0
002997.SZ,瑞鹄模具,15,制造业,33.4186,0,0,22.2389,0,0,0,0,0,0,0,0
002998.SZ,优彩资源,15,制造业,28.9561,0.2400,4.9973,8.2527,36.8288,1.5830,45.6714,3.3303,2.0671,2.5840,-23.0198,0
003004.SZ,声迅股份,15,信息传输、软件和信息技术服务业,78.0246,0,0,36.1054,0,0,0,0,0,0,0,0
003043.SZ,华亚智能,15,制造业,32.9355,0,0,38.7081,0,0,0,0,0,0,0,0
300006.SZ,莱美药业,15,制造业,-25.4831,-0.0651,-3.2101,73.5237,28.4787,1.3982,80.5889,2.4895,1.2070,2.2008,27.9893,50.4446
300016.SZ,北陆药业,15,制造业,63.5365,0,0,58.5315,0,0,0,0,0,0,0,53.7639
300062.SZ,中能电气,15,制造业,100.8759,0.0742,4.0041,23.1451,51.5793,2.0652,92.3126,1.5019,0.4387,1.4385,81.4926,85.3044
300080.SZ,易成新能,15,制造业,315.5347,0.2233,8.9289,8.3163,51.7823,2.0739,74.4621,1.3186,0.4717,1.0163,320.7485,137.3592
